Model,Accuracy,Precision,Recall,F1,ROC_AUC,Sensitivity,Specificity,Best_Params
SVM,0.7467532467532467,0.6229508196721312,0.7037037037037037,0.6608695652173913,0.8285185185185185,0.7037037037037037,0.77,"{'model__C': 0.5, 'model__kernel': 'linear'}"
Logistic Regression,0.7597402597402597,0.639344262295082,0.7222222222222222,0.6782608695652174,0.8277777777777778,0.7222222222222222,0.78,{'model__C': 0.1}
Random Forest,0.7467532467532467,0.6086956521739131,0.7777777777777778,0.6829268292682927,0.8211111111111111,0.7777777777777778,0.73,"{'model__max_depth': 5, 'model__min_samples_leaf': 3}"
XGBoost,0.7402597402597403,0.6,0.7777777777777778,0.6774193548387096,0.8124074074074074,0.7777777777777778,0.72,"{'model__learning_rate': 0.03, 'model__max_depth': 2}"
Gradient Boosting,0.7467532467532467,0.6056338028169014,0.7962962962962963,0.688,0.8054629629629629,0.7962962962962963,0.72,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 100}"
Decision Tree,0.7142857142857143,0.5735294117647058,0.7222222222222222,0.639344262295082,0.7615740740740741,0.7222222222222222,0.71,"{'model__max_depth': 5, 'model__min_samples_leaf': 1}"
