Recall,Precision
1.0,0.35064935064935066
1.0,0.35294117647058826
1.0,0.35526315789473684
1.0,0.3576158940397351
1.0,0.36
1.0,0.3624161073825503
1.0,0.36486486486486486
1.0,0.3673469387755102
1.0,0.3698630136986301
1.0,0.3724137931034483
1.0,0.375
1.0,0.3776223776223776
1.0,0.38028169014084506
1.0,0.3829787234042553
1.0,0.38571428571428573
1.0,0.38848920863309355
1.0,0.391304347826087
1.0,0.39416058394160586
1.0,0.39705882352941174
1.0,0.4
1.0,0.40298507462686567
1.0,0.40601503759398494
1.0,0.4090909090909091
1.0,0.4122137404580153
1.0,0.4153846153846154
0.9814814814814815,0.4108527131782946
0.9814814814814815,0.4140625
0.9629629629629629,0.4094488188976378
0.9629629629629629,0.4126984126984127
0.9629629629629629,0.416
0.9629629629629629,0.41935483870967744
0.9629629629629629,0.42276422764227645
0.9629629629629629,0.4262295081967213
0.9629629629629629,0.4297520661157025
0.9629629629629629,0.43333333333333335
0.9629629629629629,0.4369747899159664
0.9629629629629629,0.4406779661016949
0.9629629629629629,0.4444444444444444
0.9629629629629629,0.4482758620689655
0.9629629629629629,0.45217391304347826
0.9444444444444444,0.4473684210526316
0.9444444444444444,0.45132743362831856
0.9444444444444444,0.45535714285714285
0.9444444444444444,0.4594594594594595
0.9259259259259259,0.45454545454545453
0.9259259259259259,0.45871559633027525
0.9259259259259259,0.46296296296296297
0.9259259259259259,0.4672897196261682
0.9259259259259259,0.4716981132075472
0.9259259259259259,0.47619047619047616
0.9074074074074074,0.47115384615384615
0.9074074074074074,0.47572815533980584
0.9074074074074074,0.4803921568627451
0.9074074074074074,0.48514851485148514
0.9074074074074074,0.49
0.9074074074074074,0.494949494949495
0.9074074074074074,0.5
0.9074074074074074,0.5051546391752577
0.9074074074074074,0.5104166666666666
0.9074074074074074,0.5157894736842106
0.9074074074074074,0.5212765957446809
0.9074074074074074,0.5268817204301075
0.9074074074074074,0.532608695652174
0.8888888888888888,0.5274725274725275
0.8888888888888888,0.5333333333333333
0.8703703703703703,0.5280898876404494
0.8703703703703703,0.5340909090909091
0.8518518518518519,0.5287356321839081
0.8518518518518519,0.5348837209302325
0.8518518518518519,0.5411764705882353
0.8518518518518519,0.5476190476190477
0.8518518518518519,0.5542168674698795
0.8518518518518519,0.5609756097560976
0.8518518518518519,0.5679012345679012
0.8518518518518519,0.575
0.8333333333333334,0.569620253164557
0.8148148148148148,0.5641025641025641
0.8148148148148148,0.5714285714285714
0.8148148148148148,0.5789473684210527
0.8148148148148148,0.5866666666666667
0.8148148148148148,0.5945945945945946
0.8148148148148148,0.6027397260273972
0.8148148148148148,0.6111111111111112
0.8148148148148148,0.6197183098591549
0.7962962962962963,0.6142857142857143
0.7962962962962963,0.6231884057971014
0.7777777777777778,0.6176470588235294
0.7592592592592593,0.6119402985074627
0.7592592592592593,0.6212121212121212
0.7407407407407407,0.6153846153846154
0.7222222222222222,0.609375
0.7222222222222222,0.6190476190476191
0.7037037037037037,0.6129032258064516
0.7037037037037037,0.6229508196721312
0.6851851851851852,0.6166666666666667
0.6666666666666666,0.6101694915254238
0.6666666666666666,0.6206896551724138
0.6666666666666666,0.631578947368421
0.6666666666666666,0.6428571428571429
0.6666666666666666,0.6545454545454545
0.6481481481481481,0.6481481481481481
0.6481481481481481,0.660377358490566
0.6481481481481481,0.6730769230769231
0.6296296296296297,0.6666666666666666
0.6296296296296297,0.68
0.6296296296296297,0.6938775510204082
0.6111111111111112,0.6875
0.5925925925925926,0.6808510638297872
0.5740740740740741,0.6739130434782609
0.5740740740740741,0.6888888888888889
0.5740740740740741,0.7045454545454546
0.5555555555555556,0.6976744186046512
0.5555555555555556,0.7142857142857143
0.5555555555555556,0.7317073170731707
0.5370370370370371,0.725
0.5370370370370371,0.7435897435897436
0.5185185185185185,0.7368421052631579
0.5185185185185185,0.7567567567567568
0.5,0.75
0.5,0.7714285714285715
0.48148148148148145,0.7647058823529411
0.46296296296296297,0.7575757575757576
0.46296296296296297,0.78125
0.46296296296296297,0.8064516129032258
0.4444444444444444,0.8
0.42592592592592593,0.7931034482758621
0.4074074074074074,0.7857142857142857
0.3888888888888889,0.7777777777777778
0.37037037037037035,0.7692307692307693
0.37037037037037035,0.8
0.35185185185185186,0.7916666666666666
0.3333333333333333,0.782608695652174
0.3333333333333333,0.8181818181818182
0.3333333333333333,0.8571428571428571
0.3148148148148148,0.85
0.2962962962962963,0.8421052631578947
0.2777777777777778,0.8333333333333334
0.2777777777777778,0.8823529411764706
0.25925925925925924,0.875
0.24074074074074073,0.8666666666666667
0.2222222222222222,0.8571428571428571
0.2037037037037037,0.8461538461538461
0.2037037037037037,0.9166666666666666
0.18518518518518517,0.9090909090909091
0.16666666666666666,0.9
0.14814814814814814,0.8888888888888888
0.12962962962962962,0.875
0.1111111111111111,0.8571428571428571
0.09259259259259259,0.8333333333333334
0.07407407407407407,0.8
0.07407407407407407,1.0
0.05555555555555555,1.0
0.037037037037037035,1.0
0.018518518518518517,1.0
0.0,1.0
