FPR,TPR
0.0,0.0
0.0,0.018518518518518517
0.0,0.07407407407407407
0.01,0.07407407407407407
0.01,0.2037037037037037
0.02,0.2037037037037037
0.02,0.2777777777777778
0.03,0.2777777777777778
0.03,0.3333333333333333
0.05,0.3333333333333333
0.05,0.37037037037037035
0.06,0.37037037037037035
0.06,0.46296296296296297
0.08,0.46296296296296297
0.08,0.5
0.09,0.5
0.09,0.5185185185185185
0.1,0.5185185185185185
0.1,0.5370370370370371
0.11,0.5370370370370371
0.11,0.5555555555555556
0.13,0.5555555555555556
0.13,0.5740740740740741
0.15,0.5740740740740741
0.15,0.6296296296296297
0.17,0.6296296296296297
0.17,0.6481481481481481
0.19,0.6481481481481481
0.19,0.6666666666666666
0.23,0.6666666666666666
0.23,0.7037037037037037
0.24,0.7037037037037037
0.24,0.7222222222222222
0.25,0.7222222222222222
0.25,0.7592592592592593
0.26,0.7592592592592593
0.26,0.7962962962962963
0.27,0.7962962962962963
0.27,0.8148148148148148
0.34,0.8148148148148148
0.34,0.8518518518518519
0.41,0.8518518518518519
0.41,0.8703703703703703
0.42,0.8703703703703703
0.42,0.8888888888888888
0.43,0.8888888888888888
0.43,0.9074074074074074
0.55,0.9074074074074074
0.55,0.9259259259259259
0.6,0.9259259259259259
0.6,0.9444444444444444
0.63,0.9444444444444444
0.63,0.9629629629629629
0.75,0.9629629629629629
0.75,0.9814814814814815
0.76,0.9814814814814815
0.76,1.0
1.0,1.0
